insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (6, 10, 'definition', '2023-07-04');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (28, 5, 'demand-driven', '2023-01-22');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (1, 9, 'mission-critical', '2023-10-25');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (99, 9, 'Cross-platform', '2023-08-11');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (43, 2, 'Fundamental', '2022-12-27');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (98, 1, 'user-facing', '2022-12-28');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (95, 9, 'data-warehouse', '2023-04-14');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (99, 1, 'Visionary', '2023-02-16');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (90, 1, 'context-sensitive', '2023-08-05');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (84, 7, 'moderator', '2023-08-07');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (70, 6, 'even-keeled', '2023-02-24');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (15, 7, 'didactic', '2023-08-30');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (59, 8, 'Programmable', '2023-08-28');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (84, 1, 'Up-sized', '2023-09-13');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (7, 2, 'toolset', '2023-05-03');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (40, 10, 'optimal', '2023-03-27');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (75, 6, 'optimizing', '2023-08-06');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (82, 1, 'content-based', '2023-11-03');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (82, 2, 'actuating', '2023-11-13');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (22, 3, 'functionalities', '2023-03-30');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (18, 6, 'Object-based', '2023-07-07');
insert into comentarios (id_libro, id_usuario, comentario, fecha_publicacion) values (8, 1, 'service-desk', '2023-04-26');
